Человек, который пишет книги, – это ;EL ESCRITOR
Человек, который лечит зубы, – это ;EL DENTISTA
Человек, который учит детей/взрослых, – это ;EL PROFESOR
Человек, который профессионально занимается спортом, – это ;EL DEPORTISTA
Человек, который разносит письма, – это ;EL CARTERO
Человек, который делает стрижки, – это ;EL PELUQUERO
Человек, который готовит новостные статьи, – это ;EL PERIODISTA
Человек, который отвозит людей по делам на своей машине, – это ;EL TAXISTA
Человек, который занимается рисованием, – это ;EL PINTOR
Человек, который обслуживает посетителей ресторана, – это ;EL CAMARERO
Человек, который изучает моду, – это ;EL ESTILISTA
Человек, который тушит пожары, – это ;EL BOMBERO
Человек, который профессионально играет на фортепиано, – это;EL PIANISTA
Человек, который занимается переводами, – это;EL TRADUCTOR
Человек, который лечит пациентов, – это ;EL MÉDICO
Человек, который проектирует здания, – это;EL ARQUITECTO
Человек, который готовит еду в ресторане, – это ;EL COCINERO
Человек, который помогает выигрывать дела в суде, – это ;EL ABOGADO
Человек, который тренирует спортсменов, – это ;EL ENTRENADOR
Человек, который много путешествует в других странах является ;EL TURISTA
